,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
0,49,23.5833333333333,27.7,9.64,43.4333333333333,8.83333333333333,7.95,8.33333333333333,0.0,18.5
1,50,15.4166666666667,33.1666666666667,9.855,44.5833333333333,9.16666666666667,8.325,8.775,0.0,17.5
2,51,14.5833333333333,30.1666666666667,9.31833333333333,45.7333333333333,10.3333333333333,8.98055555555556,9.25483333333333,0.0,17.0
3,52,16.3333333333333,0.0,9.835,38.0,11.8333333333333,9.66666666666667,10.1016666666667,0.0,0.0
4,1,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,19.3166666666667,27.3666666666667,10.99,43.7,10.8333333333333,10.4385714285714,10.5916666666667,0.0,13.5
6,3,19.0166666666667,20.6666666666667,9.805,38.0166666666667,10.8333333333333,11.0566666666667,11.3666666666667,0.0,13.6666666666667
7,4,18.1666666666667,24.7,8.775,40.3,9.16666666666667,11.6190476190476,11.9766666666667,0.0,14.8333333333333
8,5,20.15,18.7666666666667,9.615,39.4666666666667,11.3333333333333,12.3092857142857,12.75,0.0,15.0
9,6,21.5333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,7,21.55,25.4,10.55,40.6666666666667,11.0,13.7152777777778,13.865,0.0,16.6666666666667
11,8,21.2,21.7,9.76,39.0,11.5,14.1785714285714,14.525,0.0,18.6666666666667
12,9,18.55,25.0833333333333,10.8383333333333,40.5333333333333,10.8333333333333,14.9222222222222,15.145,0.0,16.3333333333333
13,10,17.25,22.4166666666667,10.6266666666667,39.5,10.3333333333333,15.435119047619,15.9383333333333,0.0,17.3333333333333
14,11,23.5,0.0,11.5566666666667,41.0833333333333,11.0,16.2472222222222,16.63,0.0,19.8333333333333
